,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
1159,31995,2018.0,5,2057,6,8,2,105826.0,0,0,0,13,5
4836,13475,2017.0,26,1808,6,3,2,27593.0,0,0,1,9,8
5879,20900,2019.0,26,1174,3,5,2,11.0,1,0,0,10,9
2038,16990,2012.0,12,2312,3,6,2,88741.94803113553,0,0,2,0,10
1852,3000,2003.0,2,153,6,8,2,88741.94803113553,0,0,3,13,12
6301,25890,2019.0,32,1575,6,8,2,16807.0,0,0,0,12,12
2720,1,2006.0,2,222,6,8,2,202.0,0,0,3,13,12
3675,30990,2019.0,29,17,2,5,2,7840.0,0,2,0,8,9
5125,0,2016.0,4,869,3,6,2,123313.0,0,0,2,0,0
6004,13950,2014.0,12,2083,6,8,2,88741.94803113553,0,0,3,13,12
4793,24980,2015.0,5,1865,3,6,2,106420.0,0,0,2,10,8
2096,18854,2016.0,36,2277,6,8,2,80870.0,0,0,3,13,0
7715,13500,2018.0,10,194,0,3,2,4795.0,0,0,1,4,10
9651,13990,2013.0,35,446,2,8,2,32169.0,0,0,1,4,0
5620,28982,2016.0,17,2244,6,5,2,65724.0,0,0,0,0,9
7152,18500,2020.0,5,1436,0,3,2,593.0,0,0,1,9,3
9534,6500,2006.0,25,1676,2,5,2,157000.0,0,0,0,10,8
4756,18995,2013.0,19,1273,2,5,2,144750.0,0,0,2,9,0
4850,500,2014.0,37,2123,3,3,2,25888.0,0,0,3,13,12
4860,18500,2011.0,12,2303,2,6,2,109927.0,0,0,2,0,0
3046,28900,2017.0,5,1893,6,8,2,125000.0,0,0,3,13,12
171,0,2014.0,37,264,6,8,0,1000.0,0,0,3,13,12
419,5480,2012.0,17,1610,6,8,2,88741.94803113553,0,0,3,13,12
6520,10995,2002.0,5,424,6,8,2,108539.0,0,0,0,11,10
2032,0,2016.0,5,2004,3,6,2,88741.94803113553,0,0,2,0,0
6350,24194,2016.0,32,1147,6,3,2,47857.0,0,0,0,0,1
5017,6200,2007.0,6,1582,2,5,2,132300.0,0,0,1,5,2
7188,16500,2016.0,14,2203,0,3,2,38739.0,0,0,1,3,10
416,3500,2002.0,13,395,6,5,2,196308.0,0,0,1,9,9
7398,25499,2019.0,11,2067,6,5,2,24268.0,0,2,0,9,0
5305,0,2014.0,37,294,6,8,0,113000.0,0,2,2,1,10
7428,52988,2019.0,12,2315,6,8,2,26270.0,0,0,0,0,10
2705,16997,2018.0,11,1185,3,8,2,88741.94803113553,0,0,3,13,12
867,26990,2016.0,11,2010,2,6,0,109769.0,0,0,0,10,5
2457,34500,2015.0,11,1043,2,5,2,98550.0,1,0,0,10,0
5755,34995,2014.0,11,1054,3,6,2,130599.0,0,0,0,6,0
4579,0,2012.0,34,1692,0,3,2,33000.0,0,0,3,0,0
7658,17988,2017.0,34,671,6,8,2,50753.0,0,0,1,9,9
7632,38988,2019.0,11,968,6,8,2,29532.0,0,0,0,8,1
8459,49900,2018.0,34,2177,3,8,2,27000.0,0,0,0,13,12
6016,11995,2005.0,5,927,6,8,2,115593.0,0,0,1,11,10
1271,32900,2016.0,29,87,0,6,2,52738.0,0,0,0,8,10
3756,15990,2016.0,35,571,2,8,2,42089.0,0,0,1,9,10
4385,4900,2009.0,14,1945,6,8,2,88741.94803113553,0,0,3,13,12
5278,14999,2008.0,2,1429,6,6,2,152164.0,0,1,2,9,10
1369,21775,2016.0,11,820,6,5,2,60721.0,0,0,3,0,0
4872,27000,2013.0,5,1905,3,6,2,109000.0,0,0,0,10,9
781,22500,2015.0,15,1663,3,5,2,51495.0,0,0,2,9,2
5925,5500,2008.0,21,121,6,8,2,88741.94803113553,4,0,3,13,12
9218,12999,2016.0,8,1248,6,5,4,79034.0,0,0,1,7,9
2380,16722,2017.0,11,916,6,8,2,88741.94803113553,0,0,3,13,12
6364,24995,2008.0,5,1858,6,8,2,109659.0,0,0,0,7,10
4840,16750,2017.0,13,600,6,3,2,35852.0,0,0,1,9,0
523,13980,2018.0,18,1969,2,5,2,37942.0,0,0,1,12,10
8412,3900,2001.0,5,1998,2,6,2,180000.0,0,0,0,0,10
779,11937,2007.0,5,2200,6,8,2,88741.94803113553,0,0,3,13,12
3120,35900,2017.0,11,1062,6,8,2,72000.0,0,0,3,13,12
8890,15500,2016.0,8,581,3,5,2,67000.0,1,0,2,9,1
376,7500,2013.0,11,913,2,5,2,175837.0,0,0,0,0,10
2985,10500,1999.0,17,2231,6,8,2,88741.94803113553,0,1,3,13,12
3968,11500,2008.0,5,2057,6,6,2,205402.0,0,0,0,13,5
1092,9990,2013.0,11,1178,2,3,2,124898.0,0,0,1,9,1
7738,25194,2019.0,32,1575,6,3,2,12866.0,0,0,0,0,12
2869,24900,2016.0,12,1837,6,8,2,192000.0,0,0,3,13,12
1052,32885,2013.0,5,678,6,8,2,55595.0,0,1,3,2,0
5378,23990,2012.0,11,1515,2,6,2,18698.0,0,2,2,7,9
209,5995,2011.0,2,149,6,8,2,131000.0,0,0,3,13,1
8986,33999,2015.0,12,2303,6,6,2,92279.0,0,0,0,0,0
9960,14995,2003.0,5,1200,6,8,2,95019.0,0,3,3,7,2
254,4500,2000.0,2,2316,6,5,2,138079.0,0,0,2,2,10
9586,36990,2010.0,5,680,2,6,2,30665.0,0,2,2,7,12
8461,9500,2013.0,18,1960,0,5,2,110000.0,0,0,0,0,12
2256,40990,2017.0,34,2182,2,6,4,40570.0,0,0,3,8,10
5985,2000,2002.0,34,56,0,8,2,166000.0,0,1,1,13,12
2023,2300,2005.0,4,723,2,5,2,220000.0,0,0,3,9,9
933,36995,2017.0,29,107,6,8,5,103576.0,6,0,0,8,12
6858,52194,2016.0,29,87,6,5,0,50776.0,0,0,0,10,8
3032,14500,2015.0,37,1528,6,3,2,22546.0,0,0,1,9,5
6128,8499,2007.0,2,155,6,5,2,150793.0,0,2,0,9,4
113,30900,2019.0,11,949,6,8,2,41323.0,0,0,2,13,0
5601,36988,2014.0,5,1860,6,6,2,40333.0,0,0,0,10,9
310,5950,2009.0,26,1503,6,5,2,172783.0,6,1,1,0,12
2596,13750,2015.0,11,2137,2,3,2,126000.0,0,0,1,5,10
4277,16652,2018.0,14,1945,6,3,2,19307.0,0,0,1,9,1
7943,19995,2018.0,17,590,6,8,2,39837.0,0,0,1,0,10
8354,19555,2017.0,32,1147,6,3,2,59283.0,0,0,0,0,5
7804,17995,2011.0,22,785,6,8,2,77778.0,0,0,3,9,10
2070,0,2014.0,37,264,6,8,0,88741.94803113553,0,0,3,13,12
2425,10500,2014.0,34,538,0,3,2,102000.0,0,0,2,9,8
2933,3499,2004.0,13,381,6,8,2,220000.0,0,0,3,13,12
4041,2795,1997.0,12,1823,1,5,2,300000.0,0,0,2,8,10
2339,17773,2019.0,26,1727,6,8,2,88741.94803113553,0,0,3,13,12
3646,28990,2018.0,4,724,2,8,2,10148.0,0,2,2,9,12
6915,5444,2003.0,5,1870,6,6,2,195918.0,0,0,0,8,3
8242,25990,2019.0,34,1692,6,8,2,19879.0,0,0,0,12,12
4878,10495,2012.0,5,633,6,3,2,93762.0,0,0,2,13,10
3975,27990,2017.0,29,25,2,5,4,33851.0,0,2,0,8,0
6468,28995,2014.0,1,1771,6,6,2,70253.0,0,0,3,9,12
5411,27590,2013.0,2,1431,2,6,2,79918.0,0,2,2,2,10
5212,27590,2015.0,17,2251,2,5,2,41155.0,0,2,0,7,8
693,37500,2016.0,11,1076,2,6,0,94351.0,0,0,0,10,10
9281,25900,2019.0,32,1575,6,3,2,7730.0,0,0,3,0,10
1469,400,1950.0,37,349,6,8,2,88741.94803113553,2,2,3,13,12
9634,30990,2014.0,28,564,2,5,2,57653.0,0,0,3,7,0
3218,13500,2002.0,17,2231,0,5,2,128000.0,0,1,0,13,12
782,5500,2013.0,21,739,0,3,2,148000.0,0,0,1,0,0
1468,2950,2002.0,5,1436,6,5,2,89621.0,0,0,1,9,9
1450,33888,2015.0,17,2247,0,5,2,53461.0,0,0,0,0,5
565,27995,2017.0,17,2231,2,5,2,19833.0,0,2,0,0,8
4073,6950,2011.0,14,1945,6,3,2,146570.0,0,0,1,13,10
8177,37995,2015.0,17,1266,0,6,2,82675.0,0,0,0,0,5
8879,17999,2017.0,21,1457,6,3,2,43690.0,0,0,1,9,0
4047,2500,2011.0,5,439,2,3,2,89744.0,0,1,1,4,10
49,31990,2018.0,5,532,2,6,2,21240.0,0,2,2,3,0
8952,27999,2017.0,3,849,6,3,2,68643.0,0,0,0,0,8
3792,21995,2012.0,11,1068,6,8,2,55598.0,0,0,3,13,10
2136,42500,2016.0,26,2103,3,6,0,26000.0,0,0,0,13,0
9830,10500,2003.0,34,2028,2,5,2,219400.0,0,1,0,13,10
3305,20590,2015.0,21,1522,2,8,2,4272.0,0,2,2,7,8
6851,6995,2008.0,26,1726,0,3,2,144347.0,0,0,1,0,10
9630,21499,2017.0,5,1443,2,8,2,29724.0,0,0,3,9,8
6791,21995,2014.0,11,949,6,8,4,186751.0,0,0,0,8,10
8056,16995,2010.0,5,1860,6,6,2,139472.0,0,2,0,10,9
2658,27990,2019.0,34,2036,2,8,2,7607.0,0,2,3,8,0
5660,7900,2011.0,34,545,0,5,2,71.0,4,0,1,9,5
4338,0,2012.0,34,1692,0,3,2,33000.0,0,0,3,0,0
4897,8999,2012.0,12,377,0,5,2,165705.0,0,0,1,0,8
9184,39888,2017.0,5,1860,6,6,2,19641.0,0,0,0,10,10
7159,0,2015.0,29,101,6,5,0,58818.0,0,0,0,10,12
3923,17487,2014.0,36,2281,6,5,2,78799.0,0,0,0,0,10
